scope,root_mode,operator,baseline_arm,candidate_arm,runtime_hit_verified,baseline_seconds,candidate_seconds,baseline_mean_s,candidate_mean_s,speedup,time_reduction_percent,baseline_sample_cv,candidate_sample_cv,samples_per_arm,both_pairs_improve,both_pairs_regress,confidence_interval
pipeline,param,ad_sensor_align_mapper + ad_index_mapper + write_lance,R,B,False,"[138.36304343002848, 137.85300302004907]","[140.78964467009064, 140.57722853007726]",138.10802322503878,140.68343660008395,0.9816935565601357,-1.864781867776566,0.002611383641252655,0.0010676515776615492,2,False,True,
pipeline,param,ad_sensor_align_mapper + ad_index_mapper + write_lance,R,ALL,False,"[138.84014196007047, 137.3515229600016]","[147.90523664001375, 146.62289888993837]",138.09583246003604,147.26406776497606,0.9377428897348405,-6.639038370396322,0.0076223342211029525,0.006157304579532048,2,False,True,
pipeline,env,ad_sensor_align_mapper + ad_index_mapper + write_lance,R,B,True,"[139.40068113990128, 140.46280124003533]","[95.74987304990645, 97.59705520002171]",139.9317411899683,96.67346412496408,1.4474679526233465,30.913841775382267,0.005367133424143833,0.013510998455014057,2,True,False,
isolated_operator,param,ad_sensor_align_mapper,R,S,False,"[50.98190784000326, 51.15038380003534]","[56.14139731996693, 56.4852819100488]",51.0661458200193,56.31333961500786,0.9068214772758717,-10.275288472880062,0.002332866361708021,0.0043180377376809366,2,,,
isolated_operator,param,ad_sensor_align_mapper,R,B,False,"[50.86234631005209, 51.07698435999919]","[52.40674404008314, 52.2766237600008]",50.96966533502564,52.34168390004197,0.9737872673787777,-2.6918335759083423,0.0029776930968772562,0.0017578519749541332,2,,,
isolated_operator,env,ad_sensor_align_mapper,R,B,True,"[52.75189318007324, 52.703271729988046]","[3.093033440061845, 3.1046583900460973]",52.72758245503064,3.098845915053971,17.01523208975439,94.12291295984059,0.0006520412176242866,0.0026526265552239284,2,,,
isolated_operator,env,ad_sensor_align_mapper,R,S,True,"[52.790851839934476, 52.72158409003168]","[53.7623052499257, 53.75483314995654]",52.75621796498308,53.75856919994112,0.9813545775143298,-1.899967953774384,0.0009284155984477222,9.82833553149163e-05,2,,,
isolated_operator,env,ad_sensor_align_mapper,B0,B,True,"[11.300770299974829, 11.141251879977062]","[3.0698978699510917, 3.1010680999606848]",11.221011089975946,3.0854829849558882,3.636711381876691,72.50262957397628,0.010052263169523911,0.007143348745850495,2,,,
