pipeline,order,operator,baseline_arm,candidate_arm,baseline_mean_s,candidate_mean_s,speedup,time_reduction_percent,baseline_cv,candidate_cv,both_pairs_improve,observed_improvement,attributable_improvement,added_mechanisms,root_configuration_note,normal_root_claim_eligible,corrected_report_ref
fineweb,0,clean_html_mapper,R,T,3.302793945011217,3.47599322500173,0.9501727222179995,-5.24402317777426,0.009387868410319453,9.030942890979598e-05,False,False,False,,not_affected_by_ad_root_helper,True,
fineweb,1,clean_links_mapper,R,T,24.364402770006564,23.095739695068914,1.0549306102202267,5.207035390579806,0.03469249535657522,0.009276931927499647,True,True,False,,not_affected_by_ad_root_helper,True,
fineweb,2,clean_email_mapper,R,T,75.57339822000358,84.18450130999554,0.897711538870047,-11.394357396664855,0.403573485225968,0.10707895681174907,False,False,False,,not_affected_by_ad_root_helper,True,
fineweb,3,clean_copyright_mapper,R,T,30.059287144977134,29.226300714944955,1.0285012611810371,2.7711449909462282,0.006779769393044122,0.014003442618881284,True,False,False,,not_affected_by_ad_root_helper,True,
fineweb,4,fix_unicode_mapper,R,T,10.995747494976968,10.165873155056033,1.0816333557642506,7.547229875004257,0.1213865938249861,0.011454322042488377,False,False,False,,not_affected_by_ad_root_helper,True,
fineweb,5,punctuation_normalization_mapper,R,T,24.1565665199887,13.624977250001393,1.7729619709997115,43.597210974799715,0.07780515986958624,0.07514090050926038,True,False,False,typed_translation,not_affected_by_ad_root_helper,True,
fineweb,6,whitespace_normalization_mapper,R,T,44.38901359005831,19.67110092996154,2.2565596988243963,55.684753187740974,0.1779170139474933,0.012858032243851127,True,False,False,typed_whitespace,not_affected_by_ad_root_helper,True,
fineweb,7,text_length_filter,R,T,7.577034930000082,6.694405429938342,1.131845838932087,11.64874529701726,0.11421096219217518,0.027403701773489417,False,False,False,,not_affected_by_ad_root_helper,True,
fineweb,8,alphanumeric_filter,R,T,83.26732419006294,10.425070010009222,7.987219664723314,87.47999877333234,0.4391020642929374,0.05386666846570477,True,False,False,typed_alnum,not_affected_by_ad_root_helper,True,
fineweb,9,language_id_score_filter,R,T,73.88497345003998,72.47400212008506,1.019468654809721,1.9096864545928294,0.010657288663425834,0.007647471834942629,True,False,False,,not_affected_by_ad_root_helper,True,
fineweb,10,perplexity_filter,R,T,6.059744435013272,6.821210755035281,0.8883678649776493,-12.56598076351616,0.03407151030894654,0.058306892897479416,False,False,False,,not_affected_by_ad_root_helper,True,
fineweb,11,document_deduplicator,R,T,6.377481470059138,5.925666850002017,1.0762470505841832,7.084530502805697,0.005078418520544876,0.009351521340114284,True,True,False,,not_affected_by_ad_root_helper,True,
fineweb,12,text_chunk_mapper,R,T,15.397794780030381,15.776146220043302,0.9760174991575425,-2.457179391061959,0.028110470766274678,0.03746232962909419,False,False,False,,not_affected_by_ad_root_helper,True,
fineweb,0,clean_html_mapper,R,N,3.334886889962945,1.2590566049912013,2.6487187921040696,62.24589779099852,0.004597799110977919,0.001208575497404903,True,True,True,native_regex,not_affected_by_ad_root_helper,True,
